,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
curse_apotheosis_missingspells_name,Missing Spells,Пропавшие заклинания,,,,,,,缺法少术,魔法消滅,,,,
curse_apotheosis_missingspells_desc,Half of all spells are removed from reality.,Половина всех заклинаний удалена из реальности.,,,,,,,半数法术从现实中消失。,全魔法のうち半分が使えなくなる。,,,,
curse_apotheosis_towerclimb_name,Towerclimb,Восхождение на башню,,,,,,,爬塔,タワーの呪い,,,,
curse_apotheosis_towerclimb_desc,All biomes can spawn any creature.,Во всех биомах могут появляться любые существа.,,,,,,,任何生物都可能在任何群系出现。,あらゆる敵が出現するようになる。,,,,
curse_apotheosis_alchemistdream_name,Alchemist's Dream,Мечта алхимика,,,,,,,炼金术士的梦想,錬金術師の夢,,,,
curse_apotheosis_alchemistdream_desc,All potions are replaced with Large Potions.\nAll liquid bubbles are blessed with glass cannon.\nAlchemists & Liquid bubble appear much more frequently.\nNew Liquid Bubbles appear.,Все зелья заменены на большие зелья.\nВсе жидкие пузыри наделены стеклянной пушкой.\nАлхимики и жидкие пузыри появляются гораздо чаще.\nПоявляются новые жидкие пузыри.,,,,,,,所有魔药替换为大瓶魔药。\n所有液体泡泡获得玻璃大炮天赋。\n席西炼金术士和液体泡泡出现的频率更高。\n出现新种类的液体泡泡。,全ポーションがメガポーションになる。\n泡系モブがガラスキャノンパークの効果を得る。\nアルケミスティと泡系の敵の出現頻度が上がる。\n新たな種類の泡系モブが出現する。,,,,
curse_apotheosis_addict_name,Addict,Наркоман,,,,,,,瘾君子,薬物依存,,,,
curse_apotheosis_addict_desc,20 Fungal & Creature shifts occur at the start of the run.,20 грибковых и существенных сдвигов происходят в начале забега.,,,,,,,每局游戏开始时，会进行 20 次真菌转换和生物转换。,20個のシフト効果がゲーム開始時から発動する。,,,,
curse_apotheosis_poverty_name,Poverty,Бедность,,,,,,,一无所有,貧困,,,,
curse_apotheosis_poverty_desc,You're Affluen't\nMost enemies drop no gold.,Вы богаты\nБольшинство врагов не роняют золото.,,,,,,,"你很""负有""。\n大多数敌人不再会掉落黄金。",ほとんどのモンスターは倒してもゴールドを落とさない。,,,,
curse_apotheosis_downunder_name,Down Under,Вниз головой,,,,,,,身在澳洲,逆さの呪い,,,,
curse_apotheosis_downunder_desc,The world is flipped upsidedown.\nBest of luck!,Мир перевёрнут с ног на голову.\nУдачи!,,,,,,,世界上下颠倒。\n祝你好运！,世界が反転した。\nあなたに幸あらんことを！,,,,
curse_apotheosis_everything_name,Tuonela,Туонела,,,,,,,炼狱,トゥオネラ,,,,
curse_apotheosis_everything_desc,"All seeds are applied at once.\nEnemies drop significantly less gold.\nThe world is upsidedown.\nHardcore changes apply.\nNightcore damage increases apply.\nYou are blessed with additional health.\nYou can only win by Ascension, but are allowed to visit parallel worlds.\n\nThere is no escape.\nThere is no freedom.\nThis is your purgatory now.","Все семена применяются одновременно.\nВраги роняют значительно меньше золота.\nМир перевёрнут с ног на голову.\nПрименяются изменения хардкора.\nПрименяются увеличения урона в найткоре.\nВы благословлены дополнительным здоровьем.\nВы можете выиграть только Вознесением, но вам разрешено посещать параллельные миры.\n\nНет выхода.\nНет свободы.\nТеперь это ваш чистилище.",,,,,,,同时具有所有特殊种子的效果。\n敌人掉落的黄金大大减少。\n世界上下颠倒。\n具有硬核的所有特性。\n具有梦魇硬核的受到伤害加成。\n你受到额外生命值的祝福。\n你只能通过飞升取胜，但允许前往平行世界。\n\n插翅难飞，身不由己。\n现在，这就是你的炼狱。,すべての呪いが襲い来る。\n敵の落とすゴールドが激減。\n世界が上下反転する。\nハードコアモード補正が発生。\n受けるダメージがナイトメアモードと同じになる。\n神の恩寵でHPが増加する。\nクリア条件が変更。ただしパラレル世界に行くことは可。\n\n逃げ場のない地獄を、君は生き残れるか？,,,,
curse_apotheosis_weaken_name,Sunken Curse,Проклятие затонувших,,,,,,,沉没诅咒,水底の呪い,,,,
curse_apotheosis_weaken_desc,Your resistances and protective perks are disabled.,Ваши сопротивления и защитные бонусы отключены.,,,,,,,你的抗性和免疫效果被禁用。,防御系パークの効果がなくなる。,,,,
building_apotheosis_interact,Press $0 to undergo apotheosis.,"Нажмите $0 , чтобы достичь апофеоза",,,,,,,按 $0 接受神化。,$0 を押して効果を得る。,,,,
building_portal_interact,Press $0 to enter.,"Нажмите $0 , чтобы войти.",,,,,,,按 $0 进入。,$0 を押して入る,,,,
building_portal_activate,Press $0 to complete the key.,"Нажмите $0 , чтобы завершить ключ.",,,,,,,按 $0 完成关键。,$0 を押して鍵を完成させる。,,,,
building_portal_use,You feel you are no longer in the world you came from.,"Вы чувствуете, что больше не находитесь в том мире, откуда пришли.",,,,,,,你感觉你已经不在原来的世界中了,知らない世界に辿りついた。,,,,
credits_apotheosis_line_spoop,Various Enemy Sprites & Biome graphical design,Различные спрайты врагов и графический дизайн биомов,,,,,,,,,,,,
credits_apotheosis_line_sosig,Various Sprites for biome background & structures,Различные спрайты для фона и структур биомов,,,,,,,,,,,,
credits_apotheosis_line_20_new,"Helped with programming, creature design & mod direction","Помогал с программированием, дизайном существ и направлением мода",,,,,,,,,,,,
credits_apotheosis_line_slack,Japanese Translator,Перевод на японский,,,,,,,,,,,,
credits_apotheosis_line_extrahelp,And additional contributions from,И дополнительные материалы от,,,,,,,,,,,,
motd_apotheosis,Message of the Day,Сообщение дня,,,,,,,今日消息,今日のひとこと,,,,
motd_apotheosis_description,Message of the Day \nYou shouldn't be reading this.,Сообщение дня \nВы не должны были это прочесть.,,,,,,,今日消息\n你不应该看这个。,今日のひとこと\nここに メッセージは ないはずだよ\nみたら おしえてね,,,,
motd_apotheosis_description_birthday,Message of the Day \nHappy Birthday Apotheosis,"Сообщение дня \nПоздравлем с днём рождения, Apotheosis",,,,,,,今日消息\n生日快乐，Apotheosis 模组！,今日のひとこと\nリリース記念日！ハッピーバースデー！,,,,
motd_apotheosis_description_halloween,Message of the Day \nHappy Halloween!,Сообщение дня \nСчастливого Хэллоуина!,,,,,,,今日消息\n万圣节快乐！,今日のひとこと\nハッピーハロウィン！,,,,
motd_apotheosis_description_smissmass,Message of the Day \nHappy Noitmass!,Сообщение дня \nСчастливого Нойтждества!,,,,,,,"今日消息\n""诺诞节""快乐！",今日のひとこと\nnHappy Noitmass!,,,,
motd_apotheosis_description_new_year,"Happy new year! \nThankyou for playing, although you'll only read this once a year, I mean it every time you play. \nI'm happy seeing people enjoy my projects, and I'm happy making them myself, so sincerely, thankyou. - Conga Lyne.","С Новым годом! \nСпасибо, что играете, хотя вы будете читать это только раз в год, я имею это в виду каждый раз, когда вы играете. \nЯ рад видеть, что люди наслаждаются моими проектами, и я сам счастлив их создавать, поэтому искренне благодарю вас. - Conga Lyne.",,,,,,,新年快乐！\n感谢你的游玩，虽然这条消息一年只能看到一次，我想说每分每秒我都在感激。\n我很开心看到大家享受我的作品，我也很开心自己做了这个项目，再一次真挚的，感谢你！ - Conga Lyne,,,,,
motd_apotheosis_description_red_fish,Message of the Day \nThe Red Fish is real.,Сообщение дня \nКрасная рыба реальна.,,,,,,,今日消息\n朱红鱼是真实存在的。,今日のひとこと\n赤いさかなはいます,,,,
motd_apotheosis_description_april_fools,Happy April Fools,Счастливого дня смеха,,,,,,,愚人节快乐,,エイプリルフール！,,,
motd_apotheosis_description_painpeko,Warning: Apotheosis is designed to be played on the Beta Branch of Noita.\nGame crashes may occur by playing on the main branch.\nYou can enable the Noita beta from steam via right-clicking Noita > Properties > Betas.,"Внимание: Apotheosis предназначен для игры на бета-ветке Noita.\nСбои игры могут произойти при игре на основной ветке.\nВы можете включить бета-версию Noita в Steam, щёлкнув правой кнопкой мыши Noita > Свойства > Бета-версии.",,,,,,,警告：Apotheosis 设计在 Noita Beta 分支上运行。\n在正式版上游玩可能会发生游戏崩溃。\n你可以通过Steam右键Noita->属性->测试版来启用Noita Beta分支。,,,,,
motd_apotheosis_description_001,Message of the Day \nAlso try Worse Enemies!,Сообщение дня \nТакже попробуйте мод Worse Enemies!,,,,,,,今日消息\n也试试 Worse Enemies 模组！,今日のひとこと\nWorse Enemiesもプレイしてね。,,,,
motd_apotheosis_description_002,Message of the Day \nHomeless Hiisi love Material Donations,Сообщение дня \nБродяги любят пожертвования в виде денег,,,,,,,今日消息\n流浪席西爱心物资捐赠,今日のひとこと\n顔色が悪い人にお金をあげると、いいことがあるかも。,,,,
motd_apotheosis_description_003,Message of the Day \nBlood is Fuel.,Сообщение дня \nКровь - это топливо.,,,,,,,今日消息\n血是燃料。,今日のひとこと\n血は力なり。,,,,
motd_apotheosis_description_004,Message of the Day \nAlso try Copis Things!,Сообщение дня \nТакже попробуйте мод Copis Things!,,,,,,,今日消息\n也试试 Copis Things 模组！,今日のひとこと\n今日のおすすめMOD: Copis Things,,,,
motd_apotheosis_description_005,Message of the Day \nMeow. Meow. Meow. Meow. Meow.,Сообщение дня \nМяу. Мяу. Мяу. Мяу. Мяу.,,,,,,,今日消息\n喵~ 喵~ 喵~ 喵~ 喵~,今日のひとこと\nにゃーん,,,,
motd_apotheosis_description_006,Message of the Day \nGo outside.,Сообщение дня \nВыйдите на улицу.,,,,,,,今日消息\n出去走走。,今日のひとこと\n外に出よう。,,,,
motd_apotheosis_description_007,Message of the Day \nApotheosis successfully initialised.,Сообщение дня \nApotheosis успешно инициализирован.,,,,,,,今日消息\nApotheosis 模组启动成功。,今日のひとこと\nApotheosis Mod が インストールされました。,,,,
motd_apotheosis_description_008,Message of the Day \nHey? Can you hear me?! Get out while you still can!! HURRY.,"Сообщение дня \nЭй? Вы меня слышите?! Уходите, пока ещё не поздно!!! СКОРЕЕ.",,,,,,,今日消息\n嘿？能听到我说话吗？！趁现在还来得及！！快逃出去！！,今日のひとこと\nここは俺に任せろ、お前は先に行け！早く！,,,,
motd_apotheosis_description_009,Message of the Day \nAlso try Chemical Curiosities!,Сообщение дня \nТакже попробуйте мод Chemical Curiosities!,,,,,,,今日消息\n再试试满足化学的好奇心！,今日のひとこと\n今日のおすすめMOD: Chemical Curiosities,,,,
motd_apotheosis_description_010,Message of the Day \nEat crayons for divine knowledge.,"Сообщение дня \nЕшьте мелки, чтобы получить божественные знания.",,,,,,,今日消息\n吃口蜡笔，你就能获取神圣至理。,今日のひとこと\nクレヨンを食べると、神々の智慧が得られるらしい。,,,,
motd_apotheosis_description_011,Message of the Day \nRemember to check your wand before firing!,Сообщение дня \nНе забудьте проверить свой жезл перед стрельбой!,,,,,,,今日消息\n施法前记得检查你的魔杖！,今日のひとこと\nだから、撃つ前に杖の中身を確認する必要が、あったんですね(n敗),,,,
motd_apotheosis_description_012,Message of the Day \nI have 7 very important lore related questions.,"Сообщение дня \nУ меня есть 7 очень важных вопросов, связанных с лором.",,,,,,,今日消息\n我有 7 个非常重要的传说相关问题。,今日のひとこと\n7つ、質問があります。このゲームの考察について。,,,,
motd_apotheosis_description_013,Message of the Day \nToday's magic numbers are: 78 40 28 59 20 13,Сообщение дня \nСегодняшние магические числа: 78 40 28 59 20 13,,,,,,,今日消息\n今天的魔法数字是：78 40 28 59 20 13,今日のラッキーナンバー\n78 40 28 59 20 13,,,,
motd_apotheosis_description_014,Message of the Day \nThis sign will never lie to you.\nEspecially about matters concerning fish.,"Сообщение дня \nЭтот знак никогда не солжёт вам.\nОсобенно в вопросах, касающихся рыбы.",,,,,,,今日消息\n这个木牌从来不会骗你。\n尤其是关于鱼的。,今日のひとこと\nここに嘘は書いてないよ。ホントダヨ。魚とか。,,,,
motd_apotheosis_description_015,Message of the Day \nCan you hear ghosts? \nWithout assistance?,Сообщение дня \nВы слышите призраков? \nБез посторонней помощи?,,,,,,,今日消息\n你能听到鬼魂的声音吗？不借助任何东西的情况下？,今日のひとこと\n霊感はある？おばけは見える？,,,,
motd_apotheosis_description_016,Message of the Day \nThe struggle towards heights alone is enough to fill a man's heart,Сообщение дня \nОдно лишь стремление к вершинам способно наполнить сердце человека,,,,,,,今日消息\n迈向高处的挣扎本身就足以填满一个人的心灵,今日のひとこと\n茶色い魔術師の線は赤の方がよかったかも。,,,,
motd_apotheosis_description_017,Message of the Day \nMusical Beings fear more than just stones....,"Сообщение дня \nМузыкальные существа боятся больше, чем просто камней....",,,,,,,今日消息\n音乐的存在惧怕的不仅仅是石头,今日のひとこと\n音楽系の敵に特殊な石を使うと……？,,,,
motd_apotheosis_description_018,Message of the Day \nKnowledge is scattered around the world.. find it.,Сообщение дня \nЗнания разбросаны по всему миру... найдите их.,,,,,,,今日消息\n真理散落在世界各地...去寻找吧,今日のひとこと\n隠し要素を探してみよう。,,,,
motd_apotheosis_description_019,"Message of the Day \nTry as you might, some creatures take all but a single chip from your attacks.","Сообщение дня \nКак бы вы ни старались, некоторые существа получают от ваших атак всего лишь один урон.",,,,,,,今日消息\n尽你所能吧，有些生物只会承受你攻击伤害的九牛一毛。,今日のひとこと\n攻撃が通らない相手には、別の属性で攻めてみよう。,,,,
motd_apotheosis_description_020,Message of the Day \nIt's someone's birthday today! Happy Birthday!,Сообщение дня \nСегодня у кого-то день рождения! С днём рождения!,,,,,,,今日消息\n今天是某人的生日！生日快乐！,今日のひとこと\n今日も世界のどこかで新しい命が生まれています。ハッピーバースデー！,,,,
motd_apotheosis_description_021,Message of the Day \nRed sand is delicious!,Сообщение дня \nКрасный песок вкусный!,,,,,,,今日消息\n红砂很美味！,今日のひとこと\n赤い粉を食べてみると？,,,,
motd_apotheosis_description_022,"Message of the Day \nApotheosis, played by many, including yourself!","Сообщение дня \nApotheosis, в который играют многие, в том числе и вы!",,,,,,,今日消息\n很多人都玩过Apotheosis模组，包括你！,今日のひとこと\nApotheosis Modをプレイしていますか？\nはい いいえ,,,,
motd_apotheosis_description_023,Message of the Day \nPerhaps not every creep is a hostile. \nPerhaps not every crystal is a threat.,"Сообщение дня \nПожалуй, не каждый гад - враг. \nВозможно, не каждый кристалл является угрозой.",,,,,,,今日消息\n也许并非每条蠕虫都是敌人。\n也许并非每个水晶都是威胁。,今日のひとこと\n敵じゃない生物もいるし、いい効果のクリスタルもあるかも。,,,,
motd_apotheosis_description_024,Message of the Day \nAlso try Conga's Cats!,Сообщение дня \nТакже попробуйте мод Conga's Cats!,,,,,,,今日消息\n也试试 Conga's Cats 模组!,今日のひとこと\n今日のおすすめMOD: Conga's Cats,,,,
motd_apotheosis_description_025,"Message of the Day \nDescend into the drowning depths, the water awaits.","Сообщение дня \nСпуститесь в утопающие глубины, вода ждёт.",,,,,,,今日消息\n潜入沉溺深渊，等着你的是水。,今日のひとこと\n沈んだ洞窟の先には、水の力が待つ。,,,,
motd_apotheosis_description_026,"Message of the Day \nGoodluck and have fun!. \nIf you're feeling frustrated or stressed, remember to take a break.","Сообщение дня \nУдачи и веселья! \nЕсли вы чувствуете разочарование или стресс, не забудьте сделать перерыв.",,,,,,,今日消息\n祝你好运，玩得开心！\n如果你感到沮丧或焦虑，记得休息一下。,今日のひとこと\nイライラしたり、疲れてきたら、ちょっと休憩を取ろう。,,,,
motd_apotheosis_description_027,Message of the Day \nI believe in you.,Сообщение дня \nЯ верю в вас.,,,,,,,今日消息\n我信任你。,今日のひとこと\nやればできる。,,,,
motd_apotheosis_description_028,Message of the Day \nFor a fun time: pour the densest liquid in the overgrowth,Сообщение дня \nЧтобы повеселиться: вылейте самую плотную жидкость в заросли,,,,,,,今日消息\n取乐的好办法：将密度最大的液体倒入繁茂洞穴。,今日のひとこと\n最も重い液体を生い茂った洞窟で流すと……,,,,
motd_apotheosis_description_029,Message of the Day \nVenture into the desert. \nThere I will humour you.,Сообщение дня \nОтправляйтесь в пустыню. \nТам я буду над вами насмехаться.,,,,,,,今日消息\n冒险进入沙漠吧。\n这样我就可以嘲笑你了。,今日のひとこと\n砂漠を探索してみよう。面白いものがあるかも？,,,,
motd_apotheosis_description_030,"Message of the Day \nHappy today! Good Now, be happy you're still here!","Сообщение дня \nСчастливого дня! Хорошо, теперь будьте счастливы, что вы всё ещё здесь!",,,,,,,今日消息\n天天开心！乐在当下，很高兴看到你还在这！,今日のひとこと\n今日はハッピーデー！生きててえらい！,,,,
motd_apotheosis_description_031,Message of the Day \nDon't visit the Toxic Worm Nest at 3 am.,Сообщение дня \nНе посещайте гнездо токсичных червей в 3 часа ночи.,,,,,,,今日消息\n不要在凌晨 3 点进入剧毒蠕虫巢穴。,今日のひとこと\n夜中の3時に行かない方がいい場所:毒虫の巣,,,,
motd_apotheosis_description_alt_001,Message of the Day \nAlso try Stray Pixel Cleanup!,Сообщение дня \nТакже попробуйте мод Stray Pixel Cleanup!,,,,,,,今日消息\n也试试 Stray Pixel Cleanup 模组！,今日のひとこと\n今日のおすすめMOD: Stray Pixel Cleanup,,,,
motd_apotheosis_description_alt_002,Message of the Day \nBe weary when travelling to other worlds.,"Сообщение дня \nБудьте осторожны, путешествуя в другие миры.",,,,,,,今日消息\n去其它世界时要保持警惕。,今日のひとこと\n異世界に行くときは注意しよう。,,,,
motd_apotheosis_description_alt_003,Message of the Day \nStay inside.,Сообщение дня \nОставайтесь дома.,,,,,,,今日消息\n待在里面别出来。,今日のひとこと\n今日は外に出ない方がいいかも。,,,,
motd_apotheosis_description_alt_004,Message of the Day \nDid you eat your powerballs today?,Сообщение дня \nВы ели сегодня свои энергетические шарики?,,,,,,,今日消息\n你抽到想要的角色了吗？,今日のひとこと\nガチャは悪い文明,,,,
motd_apotheosis_description_alt_005,Message of the Day \nSour cream with Polish Sausage is delicious.,Сообщение дня \nСметана с польской колбасой - это вкусно.,,,,,,,今日消息\n酸奶油配波兰酱汁很好吃。,今日のひとこと\nキルバサソーセージ + サワークリーム = 神,,,,
motd_apotheosis_description_alt_006,Message of the Day \nEver have one of those days?,Сообщение дня \nБывают же такие дни?,,,,,,,今日消息\n以前有过这样的日子吗？,今日のひとこと\nツイてない日もある。,,,,
motd_apotheosis_description_alt_007,Message of the Day \nApotheosis\nMade by Conga & Friends.,Сообщение дня \nApotheosis\nСоздано Conga & Friends.,,,,,,,今日消息\nApotheosis\n由 Conga 和朋友们制作。,今日のひとこと\nこのMODはCongaとみんなの力で製作されています。,,,,
motd_apotheosis_description_alt_008,Message of the Day \nWelcome Back\nI'm sure your wand seemed more intuitive in the design docs.,"Сообщение дня \nС возвращением\nУверен, ваш жезл казался более интуитивно понятным в документации по дизайну.",,,,,,,今日消息\n我很确定你的魔杖在设计文档里看上去更加直观。,今日のひとこと\nおかえりなさい！\nその杖、もしかして思ってたのと違う？,,,,
motd_apotheosis_description_alt_009,Message of the Day \nWan Wan!,Сообщение дня \nВан Ван!,,,,,,,今日消息\n歪歪~！,今日のひとこと\nワンワン！,,,,
motd_apotheosis_description_alt_010,Message of the Day \nRobin was a fool.,Сообщение дня \nРобин был дураком.,,,,,,,今日消息\n罗宾是个傻瓜。,今日のひとこと\n(翻訳できなかったネタ),,,,
motd_apotheosis_description_alt_011,Message of the Day \nBe honest with your feelings.\nBe honest with yourself.,Сообщение дня \nБудьте честны со своими чувствами.\nБудьте честны с собой.,,,,,,,今日消息\n忠于你的感受。\n忠于你自己。,今日のひとこと\nフィーリングを信じよう。,,,,
motd_apotheosis_description_alt_012,"Message of the Day \nYou are not a clown, you are the entire circus.","Сообщение дня \nТы не клоун, ты целый цирк.",,,,,,,今日消息\n你不是小丑，你是一整个马戏团。,今日のひとこと\n俺自身がサーカスになることだ。,,,,
motd_apotheosis_description_alt_013,Message of the Day \nFriendship is a step on the path to success.,Сообщение дня \nДружба - это шаг на пути к успеху.,,,,,,,今日消息\n友谊是通往成功道路上的一步。,今日のひとこと\n友情パワーは大事。,,,,
motd_apotheosis_description_alt_014,Message of the Day \nPortalium is my favourite liquid.\nWhat's yours?,Сообщение дня \nПорталиум - моя любимая жидкость.\nА ваша?,,,,,,,今日消息\n传送门魔药是我最喜欢的液体。\n你的是什么？,今日のひとこと\n作者のお気に入りはポータル液。キミはどう？,,,,
motd_apotheosis_description_alt_015,Message of the Day \nAlso try More Stuff!,Сообщение дня \nТакже попробуйте мод More Stuff!,,,,,,,今日消息\n也试试 More Stuff 模组！,今日のひとこと\n今日のおすすめMOD: More Stuff,,,,
motd_apotheosis_description_alt_016,Message of the Day \n1432,Сообщение дня \n1432,,,,,,,今日消息\n1432,今日のひとこと\n1432,,,,
motd_apotheosis_description_alt_017,"Message of the Day \nIf fighting is sure to result in victory,\nthen you must FIGHT!","Сообщение дня \nЕсли бой обязательно приведёт к победе,\nто вы должны СРАЖАТЬСЯ!",,,,,,,今日消息\n如果只要战斗就能取得胜利，\n那就必须战斗！,今日のひとこと\n勝てる戦いをしよう。,,,,
motd_apotheosis_description_alt_018,Message of the Day \nBlue fire doesn't always mean cold fire...,Сообщение дня \nСиний огонь не всегда означает холодный огонь...,,,,,,,今日消息\n火焰是蓝色的不代表它就是冷的...,今日のひとこと\n青い炎は冷たいわけじゃない。,,,,
motd_apotheosis_description_alt_019,Message of the Day \nBe careful of sewer mermaids.,Сообщение дня \nОстерегайтесь канализационных русалок.,,,,,,,今日消息\n小心下水道人鱼。,今日のひとこと\nきたない人魚に気を付けよう,,,,
motd_apotheosis_description_alt_020,"Message of the Day \nHello, Deranged Maniac.","Сообщение дня \nПривет, безумный маньяк.",,,,,,,今日消息\n你好，疯子。,今日のひとこと\nキミの常識、世界の非常識？,,,,
motd_apotheosis_description_alt_021,"Message of the Day \nApotheosis, founded 21/07/2022.","Сообщение дня \nApotheosis, основан 21.07.2022.",,,,,,,今日消息\nApotheosis 模组始于2022年7月21日。,今日のひとこと\n22年7月21日は、このMODの誕生日。,,,,
motd_apotheosis_description_alt_022,Message of the Day \nThat chest is a spy!,Сообщение дня \nЭтот сундук - шпион!,,,,,,,今日消息\n宝箱是间谍！,今日のひとこと\nそのチェストはニセモノ？,,,,
motd_apotheosis_description_alt_023,Message of the Day \nMagic Inebriation is ambivalently akin to Chaotic Transmutation.,Сообщение дня \nМагическое опьянение амбивалентно сродни хаотической трансмутации.,,,,,,,今日消息\n魔法紊乱与混乱转化有异曲同工之妙。,今日のひとこと\n「魔力のかく乱」はカオス変異とちょっと似てるかも？。,,,,
motd_apotheosis_description_alt_024,"Message of the Day \nAlways remember to eat healthy, you can't buy your health back.","Сообщение дня \nВсегда помните о здоровом питании, здоровье не купишь.",,,,,,,今日消息\n永远记住要健康饮食，再多的金钱也买不回健康。,今日のひとこと\nHPには気を付けよう。このゲームで回復はなかなかできない。,,,,
motd_apotheosis_description_alt_025,Message of the Day \nDo you remember games coming in boxes as a kid? \nIt was sick as hell having physical memorabilia.,"Сообщение дня \nПомните, как в детстве игры продавались в коробках? \nБыло чертовски круто иметь физические памятные вещи.",,,,,,,今日消息\n你还记得小时候装在盒子里的游戏吗？\n实实在在的纪念品真是棒极了。,今日のひとこと\nゲームが箱に入ってた頃って懐かしいよね。,,,,
motd_apotheosis_description_alt_026,Message of the Day \n3DS street pass was so damn cool. \nYou can still use it today if you know how.,"Сообщение дня \nСтритпасс на 3DS был чертовски крутым. \nВы всё ещё можете использовать его сегодня, если знаете как.",,,,,,,每日消息\n3DS的瞬缘连接真是酷毙了。\n如果你知道该怎么做，今天仍能使用它。,今日のひとこと\n「すれちがいMii広場」って楽しかったよね。\nまだ家に3DSはある？,,,,
motd_apotheosis_description_alt_027,Message of the Day \nRemember to exercise. \nHow about 5 pushups right now?,Сообщение дня \nНе забывайте делать упражнения. \nКак насчёт 5 отжиманий прямо сейчас?,,,,,,,今日消息\n要记得多锻炼。\n先来五个俯卧撑怎么样？,今日のひとこと\n運動は大事。今すぐやろう、とりあえず腕立て5回！,,,,
motd_apotheosis_description_alt_028,Message of the Day \nSome creatures drop loot extremely rarely. \nfeeling lucky?,Сообщение дня \nНекоторые существа очень редко роняют добычу. \nВезёт?,,,,,,,今日消息\n有些掉落物极其稀有。\n想试试吗？,今日のひとこと\nドロップアイテムがある敵もいる。出たらラッキーかも？,,,,
motd_apotheosis_description_alt_029,"Message of the Day \nThe dragon is an awesome boss, especially when he's draggon dez nuts.","Сообщение дня \nДракон - потрясающий босс, особенно когда он тащит свои яйца.",,,,,,,每日消息\n龙是一个可怕的Boss，尤其是当他发狂的时候。,今日のひとこと\n(翻訳不能なダジャレ),,,,
motd_apotheosis_description_alt_030,"Message of the Day \nThere's worms inside the walls who bare heavy armor. \nCareful not to awaken them unprepared, they're very hungry.","Сообщение дня \nВнутри стен есть черви в тяжёлой броне. \nБудьте осторожны, чтобы не разбудить их неподготовленными, они очень голодны.",,,,,,,今日消息\n墙壁内可能藏着一些身披重甲的虫子。\n当心不要毫无准备地吵醒它们，它们可都饿坏了。,今日のひとこと\nめちゃくちゃ硬いワームがいるから気を付けよう。\nすっごく強いぞ！,,,,
motd_apotheosis_description_alt_031,Message of the Day \nDon't visit the Toxic Worm Nest at 3 am.,Сообщение дня \nНе посещайте гнездо токсичных червей в 3 часа ночи.,,,,,,,今日消息\n不要在凌晨 3 点进入剧毒蠕虫巢穴。,今日のひとこと\n夜中の3時に行かない方がいい場所:毒虫の巣,,,,
enemy_apotheosis_abyssum_monster,Abyssaalinenolento,Abyssaalinenolento,,,,,,,深渊的存在,,,,DO NOT TRANSLATE,
enemy_apotheosis_angel,Jumalallinen olento,Jumalallinen olento,,,,,,,神圣的存在,,,,DO NOT TRANSLATE,
enemy_apotheosis_ant_fire,Tulimurkku,Tulimurkku,,,,,,,火焰蚁,,,,DO NOT TRANSLATE,
enemy_apotheosis_ant_pheromone,Sairaanhoitajamurkku,Sairaanhoitajamurkku,,,,,,,护士蚁,,,,DO NOT TRANSLATE,
enemy_apotheosis_ant_suffocate,Tukahduttajamurkku,Tukahduttajamurkku,,,,,,,窒息蚁,,,,DO NOT TRANSLATE,
enemy_apotheosis_barfer_greater_apotheosis,Suur-Turvonnu velho,Suur-Turvonnu velho,,,,,,,大型肿胀法师,,,,DO NOT TRANSLATE,
enemy_apotheosis_blindgazer,Sokeakatselija,Sokeakatselija,,,,,,,法球史莱姆,,,,DO NOT TRANSLATE,
enemy_apotheosis_blob_big,Isomöykky,Isomöykky,,,,,,,大斑点,,,,DO NOT TRANSLATE,
enemy_apotheosis_blob_huge,Kammottavamöykky,Kammottavamöykky,,,,,,,巨大斑点,,,,DO NOT TRANSLATE,
enemy_apotheosis_blob_titan,Kolossaalimöykky,Kolossaalimöykky,,,,,,,终极斑点,,,,DO NOT TRANSLATE,
enemy_apotheosis_boss_musical_ghost,Hylättyorkesteri,Hylättyorkesteri,,,,,,,音乐幽灵,,,,DO NOT TRANSLATE,
enemy_apotheosis_boss_toxic_worm,Jättimäinenmyrkkymato,Jättimäinenmyrkkymato,,,,,,,剧毒蠕虫,,,,DO NOT TRANSLATE,
enemy_apotheosis_boss_toxic_worm_minion,Myrkyllinenmato,Myrkyllinenmato,,,,,,,毒虫爪牙,,,,DO NOT TRANSLATE,
enemy_apotheosis_boss_toxic_worm_parallel,Madon Muisti,Madon Muisti,,,,,,,记忆蠕虫,,,,DO NOT TRANSLATE,
enemy_apotheosis_bubble_liquid,Nestemäinen kupla,Nestemäinen kupla,,,,,,,液体泡泡,,,,DO NOT TRANSLATE,
enemy_apotheosis_c_basebot_speeder_apotheosis,Johtaja,Johtaja,,,,,,,加速巡逻机,,,,DO NOT TRANSLATE,
enemy_apotheosis_cat_mocreeps,Kissa,Kissa,,,,,,,猫,,,,DO NOT TRANSLATE,
enemy_apotheosis_cat_mocreeps_sorako,Sorako,Sorako,,,,,,,空子,,,,DO NOT TRANSLATE,
enemy_apotheosis_cat_mocreeps_sorako_esoteric,Esoteric Sorako,Esoteric Sorako,,,,,,,神秘空子,,,,DO NOT TRANSLATE,
enemy_apotheosis_cat_mocreeps_louis,Louis,Louis,,,,,,,路易斯,,,,DO NOT TRANSLATE,
